天体名称,距离模数,退行速度
SDSSJ002700.27-003511.8,38.34,41116
SDSSJ014742.71+001226.2,40.77,89984
SDSSJ030111.99-003313.5,38.88,17982
[PDG95]J024002.10-013715.8,40.28,111529
APMUKS(BJ)B141934.25+021314.0,35.27,-
APMUKS(BJ)B051529.79-235009.8,35.65,-
APMUKS(BJ)B124225.40-061107.2,38.1,44866
APMUKS(BJ)B033926.36-005631.5,37.99,37921
APMUKS(BJ)B001911.19-003608.1,38.76,52287
APMUKS(BJ)B231730.59-001946.5,37.94,33172
APMUKS(BJ)B002819.57-005941.4,37.97,35336
[PPG94]023732.30-014657.6,40.19,112128
[PPG94]101617.23+510723.4,40.48,127454
[PPG94]114725.33+105938.6,40.57,106048
[WM92]212426.8-614612,37.62,22407
CL0303+1706:[DG92]074,41.23,125957
DEEP2_41100811,42.98,245191
CENA-MM-DW1,27.8,-
CENA-MM-DW2,27.78,-
PISCES1,19.51,-
HYDRA2,20.64,130
PEGASUS3,21.63,-63
RETICULUM2,17.45,-91
ERIDANUS2,22.82,-67
HOROLOGIUM1,19.6,-27
PHOENIX2,19.75,-
GRUS1,20.4,-186
ERIDANUS3,19.8,-
TUCANA2,18.8,-205
HOROLOGIUM2,19.46,-
HYDRA1,15.52,-55
SCLMMDW2,27.47,-
CENA-MM-DW3,28.32,-
CENA-MM-DW4,27.96,-
CENA-MM-DW5,27.67,-
CENA-MM-DW6,27.78,-
CENA-MM-DW7,27.65,-
CENA-MM-DW8,27.7,-
CENA-MM-DW9,27.9,-
IC0745,31.29,1025
UGC07184,32.61,2018
UGC07394,32.45,1510
NGC5496,31.77,1500
UGC09215,31.93,1380
NGC5584,32.25,1626
UGC09299,32.33,1532
NGC5719,32.11,1716
VIRGOUDF1,31.22,-
AQUARIUS2,20.16,41
KIM2,20.08,-
MADCASHJ074238+652501DW,27.65,-
MAGLITESJ0644-5953,18.3,-
UGC09977,32.34,1949
UGC05238,32.56,1626
UGC00272,33.72,3988
NGC0941,31.71,1615
NGC4421,30.7,1506
UGC05376,33.06,1915
NGC3365,31.29,862
PGC035705,32.41,1484
NGC4666,30.82,1433
PGC040747,31.07,-
UGC05797,30.09,573
NGC0955,31.8,1499
NGC5300,31.33,1138
NGC5658,31.82,1605
NGC1299,31.99,2281
IC3521,31.18,526
NGC4483,31.1,819
CRATER2,20.35,-74
VIRGO_CLUSTER,31.01,-
[C2006]J122648.1+132117.5,31,-
[C2006]J122642.1+132233.0,30.9,-
[C2006]J122620.1+123425.3,30.9,-
NGC6809,13.58,213
NGC1866,18.5,-
PGC2802610,24.53,-155
NGC6715,17.11,171
NGC6819,11.86,-
NGC6791,13.08,-
IC3059,31.88,202
NGC4207,31.28,538
IC3061,33.07,2261
IC3066,32.19,313
ESO300-014,30.04,835
NGC4276,32.2,2544
NGC4259,33.78,2393
UGC07423,32.73,1190
UGC07424,32,781
UGC07421,31.97,92
NGC4316,32.11,1184
IC3239,31.49,685
NGC4353,32.28,1045
IC3229,31.93,1468
IC3268,32.68,652
PGC040045,29.84,1252
PGC040059,31.78,681
IC3292,30.97,655
PGC040409,32.98,806
PGC040408,32.17,1674
IC3267,32.86,1162
PGC040411,31.05,843
IC3259,31.17,1340
IC3311,31.47,-195
UGC07522,32.75,1337
PGC040670,31.31,1019
IC3298,32.64,2393
NGC4417,31,752
NGC4416,33,1321
PGC040766,31.64,931
NGC4376,31.73,1061
IC3371,32.49,856
PGC040831,34.31,1774
UGC07567,32.31,795
UGC07579,33.06,2173
NGC4466,32.46,682
UGC07612,32.65,1488
IC3414,31.32,458
PGC041180,31.02,1324
IC3446,33.3,1198
NGC4496A,30.82,1651
NGC4489,30.91,901
NGC4488,29.53,914
IC0800,30.73,2292
IC3483,33.83,78
NGC4531,30.89,58
IC3501,31.04,1567
NGC4591,33.19,2360
PGC041959,30.93,232
PGC041918,32.24,1016
UGC07795,30.55,-8
UGC07802,31.56,1711
IC3633,31.03,1917
IC3635,31.11,1514
NGC4634,31.55,80
NGC4598,32.17,1899
NGC4620,31.62,1080
